happiness_id,country_id,year_id,Happiness_Score,Life_Satisfaction,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Public_Trust,Mental_Health_Index,Work_Life_Balance,Climate_Index
57,4,2007,7.98,6.9,0.17,69.57,0.42,-0.06,0.82,0.13,83.41,3.82,94.26
58,8,2011,5.15,5.63,0.47,73.23,0.38,0.45,0.29,0.41,79.73,6.23,46.27
59,8,2013,4.6,7.89,0.97,52.19,0.85,-0.13,0.98,0.26,89.09,5.87,56.77
60,16,2009,7.53,6.35,0.37,80.49,0.77,0.31,0.44,0.55,70.7,3.9,59.23
61,19,2014,3.96,7.71,0.37,56.48,0.59,0.24,0.3,0.78,93.82,6.18,89.21
62,8,2021,6.08,8.54,0.2,57.89,0.27,-0.14,0.35,0.94,74.17,6.28,39.58
63,4,2016,5.03,5.81,0.11,73.15,0.94,0.04,0.52,0.28,70.47,8.23,73.61
64,16,2020,3.21,8.95,0.74,66.41,0.65,-0.1,0.94,0.74,70.56,7.56,54.57
65,4,2007,4.74,4.75,0.77,67.48,0.97,0.22,0.74,0.89,94.72,4.31,91.99
66,16,2013,4.33,7.22,0.97,54.49,0.58,0.13,0.58,0.12,54.62,7.91,53.79
67,19,2019,6.43,4.17,0.77,78.2,0.82,-0.2,0.16,0.59,81.7,8.81,98.46
68,3,2009,7.74,5.07,0.24,71.6,0.81,0.48,0.15,0.61,54.56,7.3,31.09
69,5,2017,4.34,7.17,0.04,54.74,0.34,0.04,0.5,0.27,45.53,7.72,46.77
70,1,2018,7.06,4.23,0.99,63.09,0.96,-0.02,0.73,0.02,97.22,4.6,62.01
71,3,2024,3.28,4.51,0.34,78.36,0.02,-0.04,0.75,0.26,47.78,8.95,47.94
72,6,2019,5.69,5.46,0.31,69.89,0.77,-0.09,0.23,0.58,81.17,4.06,81.62
73,4,2020,3.35,6.88,0.91,53.8,0.97,0.5,0.1,0.2,65.47,7.51,87.02
74,6,2017,7.67,4.08,0.59,63.05,0.34,0.01,0.38,0.29,90.23,5.37,78.83
75,3,2021,6.83,6.41,0.21,58.49,0.65,0.08,0.92,0.71,86.39,5.14,97.93
76,16,2012,6.29,7.13,0.89,68.11,0.56,0.41,0.55,0.4,48.63,4.71,61.92
77,1,2006,7.12,6.01,0.99,79.52,0.76,0.25,0.32,0.07,68.07,5.65,98.58
78,1,2009,6.24,4.34,0.09,65.27,0.87,0.06,0.32,0.4,41.65,7.75,38.72
79,20,2010,7.84,7.05,0.86,65.17,0.6,0.43,0.13,1.0,65.77,8.65,89.22
80,1,2016,6.57,7.03,0.39,81.69,0.82,0.32,0.47,0.26,82.01,5.5,32.69
81,5,2022,7.62,6.53,0.52,70.17,0.31,-0.04,0.79,0.27,53.93,6.91,67.23
82,1,2005,5.59,7.47,0.91,69.82,0.23,0.25,0.97,0.17,88.6,7.73,63.91
83,3,2021,3.59,5.04,0.97,59.17,0.43,0.45,0.5,0.27,43.19,3.6,89.94
84,20,2015,5.64,7.39,0.26,71.27,0.68,0.15,0.17,0.57,42.07,8.76,79.05
85,3,2014,3.63,4.81,0.21,70.16,0.19,0.31,0.68,0.96,41.65,4.27,60.87
86,3,2023,5.96,5.96,0.08,63.89,0.68,0.48,0.76,0.61,56.8,8.49,92.7
87,7,2018,5.41,4.34,0.56,84.67,0.39,0.28,0.07,0.41,68.03,8.92,92.01
88,20,2014,6.11,8.1,0.01,80.87,0.8,-0.13,0.85,0.39,46.45,3.6,31.73
89,3,2019,3.05,6.69,0.41,76.24,0.04,-0.03,0.83,0.02,99.8,8.36,90.97
90,7,2023,3.97,8.86,0.07,68.81,0.67,0.22,0.47,0.0,99.97,6.85,66.86
91,7,2008,5.46,8.71,0.41,66.17,0.65,-0.01,0.56,0.8,71.19,7.91,88.73
92,20,2006,7.75,8.99,0.04,56.47,0.94,0.47,0.71,0.49,74.08,3.65,42.69
93,6,2013,4.92,4.51,0.84,60.7,0.71,0.08,0.68,0.03,95.61,8.01,40.58
94,16,2014,5.12,7.03,0.21,77.09,0.8,0.12,0.02,0.29,86.19,6.76,80.55
95,5,2015,6.57,6.04,0.33,65.88,0.9,0.29,0.12,0.36,50.08,6.06,49.28
96,16,2018,6.02,6.66,0.87,80.88,0.68,0.17,0.16,0.78,87.55,6.36,69.12
97,1,2011,4.49,5.54,0.75,55.18,0.29,0.07,0.76,0.43,53.86,7.47,78.22
98,5,2019,5.05,4.24,0.22,67.79,0.87,-0.15,0.44,0.79,65.81,4.79,72.73
99,1,2023,4.09,7.54,0.07,72.64,0.75,0.22,0.55,0.63,71.95,8.66,78.93
100,3,2019,7.83,8.83,0.72,68.09,0.42,0.41,0.77,0.03,83.02,4.85,73.43
101,4,2012,3.65,6.66,0.39,81.12,0.71,0.28,0.34,0.97,49.01,8.26,56.54
102,20,2015,4.86,5.65,0.77,84.63,0.87,0.07,0.75,0.18,44.57,3.07,36.33
103,5,2013,3.13,8.69,0.45,54.05,0.98,-0.11,0.44,0.28,91.97,8.5,89.87
104,5,2019,4.11,5.82,0.35,54.55,0.95,0.37,0.38,0.81,89.61,8.11,89.22
105,3,2005,6.9,8.57,0.45,54.56,0.33,0.46,0.33,0.19,71.4,3.75,30.4
106,6,2005,4.01,8.28,0.75,73.84,0.42,0.07,0.96,0.4,79.74,7.42,88.86
107,7,2023,3.4,6.64,0.9,63.04,0.11,0.31,0.77,0.86,83.16,5.24,40.57
108,3,2007,5.37,7.38,0.05,75.67,0.25,0.09,0.02,0.64,68.59,5.88,53.3
109,8,2014,3.05,7.5,0.52,64.19,0.88,0.15,0.96,0.3,55.43,3.41,58.93
110,7,2012,3.42,7.21,0.03,71.97,0.36,0.39,0.78,0.64,68.88,4.28,77.57
111,20,2019,7.04,4.8,0.47,76.95,0.62,-0.14,0.15,0.81,97.05,8.72,36.47
112,7,2014,6.86,7.46,0.89,69.19,0.67,0.17,0.08,0.4,90.27,5.51,87.87
113,6,2005,7.58,4.02,0.36,68.88,0.78,-0.05,0.31,0.57,67.93,3.16,95.99
114,7,2022,7.27,7.55,0.93,53.09,0.18,0.04,0.62,0.99,53.53,6.09,96.69
115,20,2006,6.42,6.77,0.63,64.38,0.3,0.25,0.62,0.96,93.38,8.97,36.43
116,6,2023,3.26,5.3,0.93,69.1,0.45,-0.18,0.28,0.51,78.29,5.0,94.36
117,16,2017,6.91,8.02,0.76,66.17,0.36,0.22,0.45,0.1,64.28,3.85,69.75
118,5,2005,7.23,6.03,0.1,81.53,0.98,-0.0,0.21,0.7,46.7,6.86,80.88
119,5,2006,7.0,6.43,0.23,81.73,0.83,0.27,0.05,0.27,85.11,8.52,95.14
120,1,2020,5.54,4.14,0.39,78.77,0.48,-0.1,0.52,0.67,59.02,8.15,76.27
121,16,2019,4.16,6.01,0.17,63.14,0.88,0.32,0.35,0.35,76.38,6.94,61.97
122,16,2017,7.23,4.84,0.49,75.11,0.35,0.25,0.54,0.72,74.18,4.1,66.76
123,7,2020,6.64,5.38,0.47,63.84,0.79,0.48,0.95,0.37,81.98,7.71,77.92
124,5,2021,7.9,5.26,0.96,58.14,0.22,0.44,0.14,0.94,72.26,7.94,96.13
125,20,2011,3.78,4.23,0.43,62.0,0.77,-0.0,0.0,0.14,77.82,8.1,92.29
126,19,2021,4.13,6.3,0.79,52.48,0.46,-0.18,0.08,0.07,44.89,5.42,70.39
127,19,2011,4.06,6.61,0.94,61.61,0.11,0.26,0.46,0.78,79.92,5.45,44.77
128,6,2017,6.96,6.86,0.88,66.13,0.27,0.22,0.71,0.4,51.65,3.93,54.27
129,5,2009,3.93,6.31,0.21,83.44,0.4,-0.18,0.58,0.47,63.52,7.64,55.33
130,5,2021,3.33,8.35,0.5,60.97,0.75,-0.11,0.49,0.93,70.75,7.42,50.24
131,19,2007,7.99,4.19,0.35,81.59,0.07,0.21,0.35,0.59,81.21,3.6,82.27
132,5,2011,3.12,7.07,0.4,58.01,0.66,0.44,0.31,0.66,84.55,3.12,88.52
133,7,2021,7.18,8.33,0.36,56.68,0.72,0.43,0.38,0.02,82.3,8.71,52.39
134,8,2011,4.83,4.21,0.83,68.16,0.65,-0.09,0.61,0.67,45.71,3.1,89.23
135,4,2005,7.21,6.48,0.45,73.54,0.76,0.07,0.17,0.39,63.21,6.77,81.41
136,16,2021,5.77,6.95,0.52,51.55,0.18,-0.17,0.77,0.46,56.84,5.72,60.88
137,1,2021,7.51,4.95,0.98,57.74,0.59,0.13,0.58,0.81,63.91,7.66,78.91
138,6,2015,7.63,5.26,0.06,65.95,0.94,0.33,0.27,0.52,78.81,3.53,83.85
139,8,2007,3.05,7.93,0.49,61.59,0.61,0.35,0.5,0.99,51.58,7.09,69.27
140,19,2019,3.38,6.84,0.77,74.94,0.61,0.15,0.96,0.8,70.13,6.69,61.02
141,16,2015,4.25,5.58,0.15,67.89,0.74,-0.13,0.02,0.73,93.09,8.12,37.12
142,5,2020,6.35,7.82,0.61,55.61,0.33,0.07,0.2,0.59,83.87,6.11,30.1
143,1,2013,7.44,7.73,0.24,81.31,0.7,0.45,0.45,0.41,83.52,7.37,95.61
144,5,2005,5.3,5.73,0.87,60.25,0.92,-0.04,0.64,0.05,90.92,5.63,48.72
145,20,2020,6.03,6.44,0.33,75.59,0.01,0.02,0.21,0.02,63.95,8.9,76.41
146,20,2013,3.94,7.32,0.33,77.3,0.87,0.32,0.93,0.05,85.57,6.36,96.04
147,1,2023,7.02,5.72,0.6,83.71,0.22,0.31,0.64,0.96,43.52,7.52,87.28
148,1,2016,7.84,7.15,0.18,67.45,0.46,0.44,0.88,0.32,43.39,3.56,38.58
149,19,2023,4.34,5.26,0.28,71.55,0.85,0.07,0.33,0.7,59.91,5.78,86.13
150,1,2013,5.47,5.46,0.42,61.72,0.82,0.16,0.83,0.59,51.81,3.39,80.85
151,7,2011,3.43,5.55,0.35,73.74,0.89,0.13,0.38,0.57,71.11,3.73,53.06
152,5,2018,5.8,8.68,0.52,66.22,0.94,0.45,0.25,0.58,50.99,6.04,78.27
153,8,2023,5.51,8.17,0.6,65.32,0.45,0.34,0.91,0.3,98.53,5.11,87.81
154,3,2023,3.72,6.83,0.57,79.94,0.66,0.38,0.09,0.89,91.07,5.76,50.4
155,1,2006,5.21,6.82,0.65,51.76,0.39,-0.11,0.94,0.92,98.95,5.98,90.83
156,6,2013,4.67,4.28,0.31,80.87,0.35,0.35,0.46,0.64,88.47,3.96,35.52
157,20,2017,5.61,7.25,0.13,79.82,0.43,0.1,0.99,0.86,97.07,5.19,66.92
158,7,2019,5.93,5.64,0.76,67.72,0.74,-0.18,0.54,0.06,62.09,8.16,46.33
159,16,2007,3.04,7.06,0.85,67.16,0.5,-0.16,0.76,0.1,69.87,8.14,80.96
160,3,2015,6.81,8.2,0.26,62.66,0.81,0.27,0.01,0.56,54.39,5.94,42.24
161,8,2018,6.57,4.23,0.41,84.8,0.75,0.06,0.5,0.85,78.15,7.49,53.9
162,3,2012,4.83,7.04,0.5,53.89,0.02,0.41,0.74,0.32,87.29,7.52,38.92
163,1,2022,3.26,6.82,0.53,70.66,0.63,0.31,0.78,0.55,69.92,3.26,86.83
164,19,2023,6.77,5.03,0.66,73.86,0.44,-0.18,0.16,0.01,57.78,6.67,39.26
165,20,2020,7.78,7.23,0.04,82.7,0.46,0.28,0.42,0.99,70.46,7.83,80.62
166,20,2006,4.2,6.77,0.72,77.31,0.82,-0.07,0.42,0.77,43.77,6.56,79.51
167,16,2012,4.62,7.84,0.06,72.53,0.55,0.1,0.1,0.36,83.27,6.25,39.97
168,19,2010,3.92,4.55,0.47,54.09,0.89,0.24,0.44,0.98,67.1,6.19,69.62
169,5,2016,5.88,6.22,0.83,63.08,0.71,0.41,0.81,0.09,93.89,6.05,64.78
170,4,2019,3.77,8.99,0.45,54.86,0.55,0.12,0.3,0.46,95.4,7.67,71.62
171,7,2012,4.78,7.45,0.15,80.84,0.75,0.37,0.43,0.06,47.53,6.85,95.61
172,20,2008,6.49,7.42,0.99,76.24,0.04,0.35,0.96,0.33,99.77,4.29,35.64
173,6,2019,5.8,5.59,0.89,76.51,0.03,0.09,0.03,0.22,98.19,5.6,87.44
174,20,2024,4.93,4.47,0.77,72.83,0.08,0.15,0.59,0.32,77.63,6.17,90.35
175,3,2021,5.1,8.75,0.41,67.75,0.44,0.29,0.74,0.95,89.53,5.51,38.84
176,20,2017,5.81,4.53,0.18,55.25,0.24,-0.18,0.76,0.43,41.11,4.43,75.93
177,20,2022,3.03,8.96,0.94,61.54,0.98,0.42,0.72,0.32,98.22,3.75,79.15
178,4,2006,3.39,4.63,0.53,54.79,0.54,0.34,0.73,0.64,67.38,3.7,68.41
179,4,2017,7.41,4.85,0.85,75.37,0.66,-0.03,0.06,0.68,94.58,4.78,65.21
180,8,2017,3.39,5.54,0.34,55.61,0.28,0.49,0.53,0.98,63.11,5.42,52.25
181,5,2019,6.53,6.56,0.34,74.57,0.32,-0.07,0.78,0.55,87.29,7.1,78.24
182,6,2024,7.6,7.95,0.99,74.23,0.34,0.44,0.09,0.75,65.08,8.91,49.99
183,20,2014,4.35,8.86,0.52,66.08,0.7,0.03,0.01,0.38,61.76,8.38,62.2
184,20,2007,4.85,5.79,0.14,54.73,0.47,0.33,0.81,0.17,96.81,7.88,90.02
185,7,2023,5.84,4.1,0.22,61.02,0.52,0.12,0.71,0.43,81.95,7.88,36.27
186,4,2007,7.41,7.08,0.48,61.2,0.59,0.32,0.41,0.42,90.4,6.58,66.99
187,6,2018,7.71,7.55,0.04,74.51,0.77,-0.09,0.94,0.42,72.6,4.52,64.03
188,16,2012,6.7,5.99,0.46,53.98,0.09,-0.01,0.77,0.7,95.1,5.83,56.49
189,8,2008,3.43,4.92,0.42,79.02,0.78,-0.13,0.97,0.41,84.4,3.86,71.83
190,5,2024,6.35,5.53,0.78,76.64,0.56,0.41,0.93,0.95,44.33,6.4,31.09
191,19,2015,5.05,7.28,0.35,56.52,0.67,0.01,0.48,0.98,86.01,3.14,64.47
192,5,2015,5.35,6.47,0.98,75.17,0.33,0.29,0.75,0.52,41.12,4.14,64.0
193,3,2015,3.25,7.72,0.18,73.4,0.41,0.37,0.67,0.56,89.74,7.27,66.13
194,20,2006,3.96,5.09,0.59,76.18,0.23,0.43,0.81,0.41,59.91,4.66,44.87
195,8,2021,6.95,8.21,0.09,56.61,0.98,-0.13,0.79,0.36,75.9,5.52,44.53
196,3,2013,5.27,4.78,0.73,55.52,0.5,0.43,0.15,0.99,84.96,7.99,75.3
197,6,2006,4.51,5.65,0.99,58.28,1.0,-0.06,0.23,0.04,78.22,3.27,36.49
198,19,2019,4.92,6.96,0.82,62.81,0.49,0.32,0.27,0.41,80.34,3.14,51.41
199,4,2020,7.27,7.68,0.56,77.78,0.22,0.31,0.82,0.15,93.56,4.37,88.16
200,8,2008,6.74,5.33,0.48,75.83,0.51,-0.19,0.81,0.73,62.44,7.11,37.26
201,8,2012,4.36,8.74,0.84,82.39,0.04,-0.05,0.5,0.19,72.83,4.42,62.76
202,20,2013,3.59,7.53,0.94,52.05,0.9,0.14,0.58,0.88,50.5,8.18,76.8
203,1,2009,4.26,5.09,0.99,50.4,0.82,0.09,0.83,0.37,68.05,5.11,39.92
204,8,2020,7.6,7.63,0.4,74.47,0.73,0.44,0.31,0.92,49.0,4.7,51.87
205,7,2017,5.91,7.48,0.99,59.78,0.61,0.05,0.05,0.99,78.02,4.4,69.11
206,19,2011,5.67,7.76,0.16,61.69,0.58,0.46,0.48,0.77,59.46,6.44,52.91
207,19,2024,5.98,8.58,0.25,69.14,1.0,0.12,0.91,0.62,91.54,8.14,37.7
208,7,2021,4.83,7.56,0.09,53.58,0.28,0.48,0.79,0.15,60.61,5.44,46.27
209,16,2007,7.04,5.76,0.27,72.49,0.78,0.32,0.37,0.93,57.21,4.52,37.66
210,7,2009,5.62,7.95,0.77,61.38,0.58,0.38,0.06,0.78,69.48,5.53,98.85
211,7,2023,3.58,7.48,0.85,72.15,0.98,-0.13,0.64,0.29,50.52,8.43,46.5
212,19,2016,3.65,6.87,0.78,79.19,0.83,0.21,0.83,0.47,52.23,5.01,67.14
213,5,2011,5.68,5.77,0.63,55.99,1.0,-0.1,0.66,0.07,86.99,6.93,60.0
214,19,2013,7.68,8.61,0.51,82.58,0.59,0.01,0.43,0.66,69.83,4.98,69.87
215,1,2010,4.54,6.56,0.71,68.57,0.2,0.24,0.12,0.13,52.38,7.05,64.87
216,20,2021,7.35,7.14,0.39,82.3,0.5,0.31,0.91,0.65,41.89,8.29,80.9
217,3,2020,6.82,6.08,0.84,57.27,0.71,-0.17,0.28,0.67,67.99,6.59,91.11
218,5,2007,4.24,7.9,0.68,71.16,0.77,0.17,0.22,0.32,84.56,8.68,49.97
219,4,2008,3.18,5.71,0.7,64.14,0.0,0.2,0.82,0.95,61.07,6.61,42.85
220,3,2014,3.51,8.05,0.54,77.1,0.51,-0.14,0.98,0.78,54.88,8.85,98.9
221,20,2009,6.64,4.54,0.89,71.21,0.24,0.15,0.66,0.5,63.78,7.34,90.63
222,1,2014,4.0,7.54,0.25,67.31,0.87,0.3,0.62,0.92,97.55,6.92,55.47
223,1,2016,4.86,6.38,0.38,81.95,0.15,-0.16,0.32,0.86,65.39,7.98,92.64
224,4,2014,5.51,7.49,0.78,63.2,0.67,0.33,0.02,0.69,55.58,3.07,76.94
225,5,2017,6.63,6.66,0.49,57.7,0.27,0.2,0.19,0.15,74.15,4.54,60.62
226,16,2015,3.57,4.67,0.89,71.28,0.36,0.38,0.58,0.5,88.64,4.3,91.14
227,7,2020,5.03,6.38,0.35,71.84,0.94,-0.05,0.15,0.86,41.34,3.67,77.27
228,5,2012,5.43,8.82,0.37,65.37,0.24,0.38,0.88,0.61,73.49,8.63,87.85
229,16,2012,5.7,7.77,0.89,67.03,0.1,-0.13,0.19,0.55,90.18,3.79,59.24
230,1,2012,7.09,5.5,0.46,83.58,0.07,0.08,0.52,0.96,52.94,4.58,85.91
231,19,2017,3.86,8.72,0.52,75.64,0.5,-0.06,0.51,0.02,95.3,5.01,55.68
232,20,2006,7.04,7.89,0.33,53.87,0.64,0.41,0.6,0.01,74.66,6.75,81.46
233,4,2016,6.46,5.82,0.28,57.42,0.33,0.29,0.33,0.89,71.0,7.6,60.49
234,20,2014,5.78,7.02,0.66,84.15,0.69,-0.18,0.87,0.04,97.82,6.63,58.36
235,6,2016,6.5,6.13,0.12,75.43,0.06,-0.19,0.44,0.33,47.78,7.49,85.76
236,6,2015,5.06,4.48,0.88,82.03,0.86,0.0,0.7,0.92,84.41,5.41,38.75
237,5,2019,3.69,8.03,0.78,60.64,0.82,-0.1,0.64,0.69,89.11,8.97,94.97
238,1,2020,6.33,4.96,0.19,75.97,0.99,0.24,0.12,0.65,69.31,4.02,65.61
239,1,2021,5.62,6.29,0.69,74.99,0.94,0.26,0.62,0.66,40.39,5.4,74.53
240,7,2006,6.2,7.51,0.6,60.31,0.36,0.46,0.55,0.32,71.46,7.99,58.37
241,7,2022,4.69,8.66,0.18,69.28,0.4,0.47,0.9,0.53,49.21,4.48,75.21
242,7,2016,7.53,4.31,0.27,71.96,0.75,0.26,0.88,0.63,73.75,7.51,79.69
243,19,2023,5.94,5.97,0.41,66.84,0.13,-0.2,0.15,0.31,84.32,5.19,90.79
244,3,2022,3.43,7.07,0.7,78.95,0.31,0.05,0.08,0.8,71.86,4.07,89.81
245,8,2021,5.25,7.9,0.64,79.15,0.12,0.16,0.29,0.32,77.85,5.42,55.05
246,3,2010,6.78,8.6,0.53,79.77,0.45,0.15,0.99,0.07,46.24,7.71,73.11
247,20,2019,6.97,4.0,0.77,78.12,0.55,0.22,0.02,0.2,45.82,3.67,84.64
248,3,2007,5.47,7.14,0.76,67.08,0.21,0.47,0.67,0.41,91.06,6.1,83.54
249,19,2010,7.47,4.03,0.62,63.35,0.03,0.42,0.61,0.91,42.96,7.45,92.37
250,20,2007,4.34,7.94,0.79,79.1,0.72,-0.12,0.65,0.42,57.06,7.51,88.24
251,3,2005,5.05,4.75,0.33,67.16,0.02,-0.01,0.22,0.09,96.26,5.34,80.25
252,19,2017,7.49,8.47,0.88,58.62,0.97,0.38,0.23,0.2,67.53,5.8,82.42
253,8,2018,7.48,4.78,0.61,67.76,0.22,0.38,0.43,0.54,80.47,8.14,86.52
254,3,2017,6.43,7.82,0.82,54.96,0.66,-0.01,0.1,0.18,53.3,4.25,88.65
255,19,2008,7.29,5.45,0.55,74.21,0.43,0.31,0.07,0.06,56.23,8.96,54.69
256,7,2011,3.44,6.79,0.22,61.76,0.06,0.27,0.09,0.71,70.54,5.52,84.73
257,1,2014,7.32,7.04,0.54,59.12,0.47,0.13,0.57,0.78,78.29,4.65,96.44
258,7,2011,4.6,5.03,0.37,83.48,0.52,-0.06,0.4,0.85,97.63,3.02,46.31
259,1,2019,3.89,5.49,0.7,77.19,0.85,0.42,0.29,0.84,74.47,3.75,33.38
260,4,2019,4.2,4.54,0.48,77.55,0.73,0.27,0.32,0.38,45.76,7.54,35.07
261,4,2008,5.09,4.03,0.84,71.83,0.08,-0.08,0.21,0.73,62.02,6.9,45.17
262,4,2010,4.26,5.2,0.68,79.37,0.21,0.29,0.41,0.58,54.65,4.48,94.39
263,8,2024,4.6,6.58,0.68,76.57,0.31,0.32,0.2,0.02,55.26,8.56,38.88
264,7,2009,3.67,7.57,0.22,70.96,0.12,0.42,0.7,0.4,70.32,8.01,82.33
265,1,2024,4.48,7.97,0.98,83.64,0.46,-0.04,0.12,0.05,59.0,4.62,90.69
266,19,2016,5.86,4.35,0.84,56.71,0.98,0.49,0.95,0.08,57.36,4.98,91.43
267,20,2005,5.21,5.36,0.79,83.02,0.51,-0.09,0.09,0.06,98.08,4.11,59.17
268,19,2012,4.73,7.85,0.33,64.05,0.74,0.22,0.94,0.96,75.04,6.86,64.67
