social_id,country_id,year_id,gdp_per_capita,population,urbanization_rate,education_index,unemployment_rate,employment_rate,income_inequality,public_health_expenditure,internet_access,crime_rate,political_stability
52,20,2021,24261.24,221909779,37.37,0.71,17.97,93.12,31.65,2.4,80.68,71.57,0.62
53,19,2013,40947.84,1188244902,50.76,0.96,9.35,67.17,42.82,2.7,88.28,46.17,0.71
54,4,2010,29082.92,547250337,67.16,0.58,4.47,66.04,22.85,7.42,40.56,36.24,0.64
55,3,2023,59632.61,413872917,56.94,0.6,13.35,79.89,46.49,6.76,93.78,25.54,0.51
56,19,2017,44005.23,777995501,42.16,0.78,17.73,82.81,25.89,7.06,50.5,66.99,0.14
57,4,2007,57196.99,199429752,65.35,0.67,3.35,71.97,31.19,3.26,87.53,35.46,0.37
58,8,2011,50263.2,1461552121,64.0,0.82,12.04,91.26,31.28,6.13,91.13,52.32,0.6
59,8,2013,54271.16,445686707,61.47,0.71,4.07,66.91,38.63,8.14,40.12,45.82,0.23
60,16,2009,49050.73,1434173341,35.43,0.91,2.49,80.76,58.13,7.47,90.25,28.42,0.64
61,19,2014,28090.39,1407009387,85.62,0.72,14.23,82.05,32.99,5.51,85.61,65.14,0.23
62,8,2021,15855.52,441853150,65.54,0.79,14.27,64.15,31.25,2.83,90.73,30.87,0.1
63,4,2016,22848.89,408751811,45.84,0.66,12.81,50.9,26.75,8.97,49.73,65.11,0.32
64,16,2020,2193.94,1332623344,71.25,0.85,17.47,89.68,35.68,6.21,82.76,38.67,0.27
65,4,2007,31915.6,372210607,49.07,0.83,3.46,73.16,27.28,9.12,66.81,12.11,0.81
66,16,2013,30798.41,583381592,60.35,0.7,3.89,54.58,25.51,5.51,54.17,63.72,0.48
67,19,2019,31989.78,512534623,50.47,0.64,17.56,95.96,54.29,3.9,81.59,72.95,0.06
68,3,2009,58467.84,1064493698,82.82,0.81,11.06,64.23,22.11,4.46,66.03,18.39,0.82
69,5,2017,54775.79,169391893,89.64,0.97,6.91,72.77,48.43,5.35,89.49,50.97,0.27
70,1,2018,10541.05,1404119552,39.67,0.57,15.29,73.24,28.1,6.91,79.09,15.02,0.57
71,3,2024,22764.07,264532354,31.41,0.9,18.1,67.8,20.47,8.15,47.65,68.09,0.54
72,6,2019,26013.41,492264018,43.16,0.77,14.41,57.28,51.81,3.94,53.79,79.16,0.97
73,4,2020,22271.44,296290982,65.4,0.76,16.25,83.81,48.09,3.5,54.55,44.65,0.25
74,6,2017,48111.26,203468154,40.44,0.98,7.08,59.38,33.37,3.62,58.92,31.94,0.15
75,3,2021,31918.22,259584072,78.69,0.8,7.2,82.75,23.17,9.48,76.65,69.2,0.26
76,16,2012,34753.89,1036073621,54.52,0.92,17.55,88.5,34.43,3.31,89.19,46.45,0.58
77,1,2006,51327.8,267043307,66.63,0.76,13.07,51.11,27.25,4.77,72.65,41.43,0.22
78,1,2009,48549.76,1310754829,57.34,0.62,6.21,85.13,57.3,5.89,81.35,25.95,0.34
79,20,2010,8800.48,1100260224,84.2,0.85,11.43,80.63,41.18,6.45,57.42,53.12,0.66
80,1,2016,43120.96,1166150552,32.11,0.96,14.35,59.4,58.55,8.86,68.74,52.44,0.12
81,5,2022,26690.73,88876436,73.76,0.92,5.93,79.77,34.05,2.9,67.73,28.4,0.95
82,1,2005,18384.29,498403746,69.13,0.6,13.79,70.2,42.26,2.86,78.56,24.8,0.53
83,3,2021,3951.11,1105638442,68.97,0.66,2.76,54.06,27.6,4.53,68.49,40.7,0.48
84,20,2015,29747.72,789492900,54.84,0.76,7.47,75.14,52.34,5.31,58.38,41.56,0.36
85,3,2014,21970.76,976155739,30.94,0.79,14.13,96.72,21.64,4.99,53.41,18.99,0.25
86,3,2023,15839.27,306168077,71.35,0.6,4.69,81.14,47.82,5.14,54.01,29.32,0.48
87,7,2018,41985.63,820491628,79.77,0.62,6.0,65.87,35.67,8.81,93.95,21.22,0.49
88,20,2014,46399.64,206159885,35.11,0.88,17.82,77.05,43.14,8.69,59.66,73.1,0.06
89,3,2019,15442.58,163995163,56.5,0.87,14.14,85.41,43.69,8.44,84.36,15.2,0.85
90,7,2023,3917.4,918070274,39.76,0.92,10.98,57.5,48.43,8.04,43.93,71.51,0.82
91,7,2008,51076.41,1228262316,66.66,0.97,5.8,75.38,28.17,2.32,44.93,46.95,0.45
92,20,2006,1587.62,652583857,77.14,0.65,8.15,74.33,41.26,3.2,77.74,56.57,0.34
93,6,2013,56289.64,827391408,70.0,0.93,12.34,68.07,37.08,7.86,65.15,74.63,0.5
94,16,2014,38029.57,1433463750,49.08,0.83,4.8,85.86,31.29,6.76,88.43,35.58,0.22
95,5,2015,19988.95,1148372341,38.38,0.98,10.67,77.12,39.83,7.39,87.42,59.18,0.0
96,16,2018,15542.2,558831519,77.66,0.64,9.36,83.55,58.08,7.74,81.56,57.02,0.35
97,1,2011,1531.33,1256980613,49.44,0.63,10.58,78.61,57.96,9.29,84.84,79.18,0.02
98,5,2019,14892.81,1049078164,31.33,0.85,3.9,87.49,31.15,7.08,87.88,13.22,0.04
99,1,2023,9125.97,217924018,64.29,0.96,3.92,80.43,55.37,4.2,83.1,41.88,0.03
100,3,2019,37117.81,127619319,44.8,0.91,19.35,82.53,55.07,2.66,68.98,79.27,0.88
101,4,2012,10826.19,1140931506,80.47,0.86,19.63,60.82,29.98,5.46,54.56,32.95,0.14
102,20,2015,32189.16,585937719,38.6,0.69,9.67,90.6,43.96,7.68,83.31,77.6,0.25
103,5,2013,35816.87,1014705597,56.09,0.86,16.2,57.46,54.8,4.26,57.47,67.17,0.49
104,5,2019,18584.46,286824187,45.19,0.9,13.8,66.31,40.6,2.96,53.46,33.75,0.53
105,3,2005,3068.83,1366946498,71.38,0.88,4.1,92.69,34.79,9.99,49.44,12.04,0.12
106,6,2005,3197.98,1181300109,62.91,0.84,7.34,55.21,46.03,5.35,74.5,29.62,0.91
107,7,2023,2554.49,490609940,77.46,0.52,7.65,91.6,26.9,3.73,53.34,18.66,0.23
108,3,2007,44608.36,171412314,57.52,0.83,12.72,72.82,26.47,3.32,60.62,39.99,0.94
109,8,2014,19762.57,632722693,30.29,0.74,12.44,58.81,53.31,8.9,79.0,75.77,0.26
110,7,2012,47981.71,1122594608,42.91,0.98,18.62,85.39,21.67,8.56,83.66,45.88,0.0
111,20,2019,26472.24,422247169,89.95,0.8,16.22,63.63,52.15,6.91,57.31,41.33,0.97
112,7,2014,27726.89,936136534,54.32,0.8,17.42,82.54,31.62,6.38,86.35,25.1,0.48
113,6,2005,31260.07,186758508,67.21,1.0,18.04,87.96,39.32,9.61,43.19,53.5,0.88
114,7,2022,43068.86,166995129,84.3,0.55,16.42,77.33,41.74,3.83,94.22,41.88,0.73
115,20,2006,17136.67,852030419,31.23,0.64,7.99,87.73,50.68,5.32,62.93,64.09,0.18
116,6,2023,8173.65,542938484,69.58,0.83,5.87,94.88,55.35,2.2,57.87,46.13,0.85
117,16,2017,33807.38,889132107,47.3,0.66,12.29,76.42,52.17,5.35,90.8,72.06,0.05
118,5,2005,20291.68,647458898,46.75,0.67,14.41,57.31,42.89,5.07,47.28,64.81,0.51
119,5,2006,27106.99,1337540553,43.49,0.95,8.96,84.06,33.92,9.6,59.68,20.15,0.25
120,1,2020,39169.86,138048017,79.36,0.79,17.27,69.68,41.06,4.87,59.74,19.52,0.36
121,16,2019,30153.42,1125985474,52.38,0.55,19.29,75.5,21.2,8.68,63.34,11.7,0.76
122,16,2017,37596.45,751932943,34.03,0.66,12.25,80.09,29.8,8.13,86.66,35.83,0.68
123,7,2020,33107.8,425659774,35.81,0.54,10.22,84.44,34.65,3.18,86.72,13.82,0.44
124,5,2021,44647.99,1251358641,38.92,0.78,17.17,80.71,32.79,9.7,72.54,41.5,0.05
125,20,2011,42650.26,1243217047,83.94,0.59,2.44,61.18,23.81,7.05,94.55,26.89,0.04
126,19,2021,32517.2,967223632,55.65,0.93,4.32,85.91,22.03,6.77,86.43,44.88,0.7
127,19,2011,41055.28,1053800164,84.96,0.79,17.22,88.75,36.83,2.09,77.46,21.08,0.95
128,6,2017,52540.02,1484313261,79.05,0.53,15.18,51.81,22.99,7.59,50.97,48.44,0.85
129,5,2009,26504.01,645010466,80.27,0.65,9.49,64.79,31.45,2.45,70.24,77.65,0.12
130,5,2021,25353.02,752677822,47.21,0.81,18.0,96.93,38.99,3.48,51.76,54.61,0.12
131,19,2007,46090.49,365565944,46.28,0.67,8.33,58.53,28.4,2.79,56.59,49.51,0.61
132,5,2011,35370.68,421082702,63.6,0.76,13.41,58.78,23.18,5.03,77.72,65.16,0.66
133,7,2021,5189.4,1313145547,55.08,0.95,13.42,78.38,37.29,8.37,50.14,10.39,0.62
134,8,2011,53634.61,469101872,60.54,0.68,5.32,66.23,37.94,7.66,45.0,29.77,0.89
135,4,2005,2816.2,1215213936,33.19,0.67,7.13,81.54,56.62,2.85,69.24,79.09,0.23
136,16,2021,45155.39,1119013335,88.3,0.91,18.49,62.61,25.11,8.39,40.05,64.78,0.17
137,1,2021,45768.85,10042726,33.49,0.66,5.3,70.45,44.6,5.69,73.49,16.32,0.91
138,6,2015,57233.55,1132984697,40.73,0.54,5.12,97.92,32.79,2.26,89.57,32.85,0.72
139,8,2007,4193.93,973904801,70.69,0.59,10.63,67.93,24.94,3.79,50.46,40.79,0.71
140,19,2019,36214.55,70643567,39.33,0.97,3.66,54.14,35.73,8.28,61.05,75.42,0.34
141,16,2015,26242.59,296314508,36.41,0.97,18.1,85.64,37.12,7.87,90.4,51.03,0.63
142,5,2020,20507.34,1140228586,39.22,0.61,3.8,78.25,34.54,3.51,78.71,15.41,0.73
143,1,2013,6328.8,649620998,33.72,0.78,13.1,71.34,50.63,2.3,47.44,45.64,0.6
144,5,2005,34196.59,599790454,45.08,0.57,8.12,93.62,53.57,4.36,61.01,30.26,0.74
145,20,2020,29263.4,15552224,46.27,0.84,16.48,57.04,25.95,8.36,81.58,33.71,0.59
146,20,2013,7168.71,573136896,59.92,0.59,12.62,73.51,26.72,9.51,76.56,18.0,0.98
147,1,2023,37136.88,1309650353,56.32,0.52,8.99,59.21,36.85,6.58,48.56,42.11,0.49
148,1,2016,44539.23,345426262,58.42,0.91,19.71,54.01,32.81,2.73,43.44,56.86,0.01
149,19,2023,46269.42,706057570,66.96,0.66,3.19,71.23,52.78,6.02,77.49,63.17,0.16
150,1,2013,54417.02,909918642,43.86,0.55,12.4,95.47,59.87,9.99,73.5,58.68,0.96
151,7,2011,25158.77,188363625,38.08,0.92,19.81,84.66,27.24,9.51,43.26,56.24,0.47
152,5,2018,57231.29,1192330483,82.73,0.88,14.44,61.26,50.5,9.95,93.61,70.85,0.12
153,8,2023,52060.33,535888895,68.04,0.84,15.32,72.21,44.29,7.6,53.88,33.27,0.16
154,3,2023,18493.59,207298055,33.64,0.96,2.58,88.28,45.78,5.41,61.23,25.02,0.03
155,1,2006,10397.7,1386012403,87.66,0.74,2.38,59.38,30.58,9.15,49.77,16.26,0.23
156,6,2013,26687.97,1355219926,71.58,0.56,2.65,59.78,23.89,9.16,85.57,21.6,0.99
157,20,2017,24712.02,27284863,39.1,0.53,19.85,58.69,41.73,3.15,92.94,20.46,0.33
158,7,2019,34967.44,539606794,88.15,0.66,19.63,79.16,44.54,8.2,51.73,73.87,0.25
159,16,2007,35419.79,1448130756,51.92,0.54,8.02,51.39,58.52,9.35,55.57,22.64,0.67
160,3,2015,45249.23,997218092,89.07,0.77,7.24,78.21,47.01,9.19,78.86,16.58,0.67
161,8,2018,31083.51,38062623,36.2,0.51,4.63,89.62,37.75,7.65,69.03,38.02,0.97
162,3,2012,7184.54,474024728,39.6,0.72,7.92,87.57,59.76,6.3,45.78,21.87,0.73
163,1,2022,51639.19,65982427,69.45,0.59,8.66,82.01,34.93,8.21,91.07,19.14,0.11
164,19,2023,19276.11,985967295,31.33,0.68,15.47,60.54,26.5,6.13,73.61,35.37,0.99
165,20,2020,58306.55,615635550,31.12,0.84,17.59,89.19,44.72,4.57,56.57,74.36,0.75
166,20,2006,7953.75,1172806235,77.52,0.68,15.44,95.96,30.65,4.07,66.94,12.13,0.26
167,16,2012,57536.82,697135033,40.07,0.67,13.64,58.82,56.89,6.33,67.51,24.54,0.26
168,19,2010,6369.7,1347975093,85.13,1.0,15.79,93.7,37.11,5.65,68.9,67.7,0.96
169,5,2016,14631.13,1327938153,55.55,0.86,15.29,90.94,25.98,6.2,67.35,27.17,0.19
170,4,2019,3748.22,275772950,82.42,0.76,10.56,97.01,25.67,4.09,70.9,40.88,0.23
171,7,2012,42601.68,1139060062,55.07,0.79,8.05,65.33,45.99,6.72,61.63,16.9,0.36
172,20,2008,51167.63,103178185,61.81,0.81,7.09,94.84,34.64,7.3,48.04,65.66,0.68
173,6,2019,26610.19,1240903872,48.99,0.51,14.23,58.62,34.55,8.45,76.55,61.55,0.43
174,20,2024,55782.8,338593964,69.48,0.54,19.27,58.41,44.49,6.72,83.59,18.96,0.31
175,3,2021,35827.65,1046529708,49.09,0.82,12.46,55.14,28.86,8.05,86.26,76.36,0.27
176,20,2017,38170.42,824570944,43.39,0.68,18.43,70.53,25.82,3.36,41.21,51.34,0.13
177,20,2022,50879.73,47604122,34.86,0.53,2.26,50.58,46.29,2.97,62.25,65.87,0.55
178,4,2006,18511.21,1183869485,33.46,0.65,16.3,68.3,20.21,3.44,93.81,63.47,0.27
179,4,2017,21901.68,1164278055,48.36,0.57,17.36,80.04,56.29,8.77,43.44,46.34,0.33
180,8,2017,54451.16,467139577,74.19,0.96,13.36,53.76,27.32,6.45,83.21,62.32,0.01
181,5,2019,54156.85,1205566069,42.34,0.6,18.81,89.29,37.91,5.64,46.94,26.65,0.53
182,6,2024,58612.48,1190700957,47.95,0.57,12.62,64.05,28.46,8.1,85.36,11.49,0.7
183,20,2014,54208.46,224259163,84.31,0.81,6.33,52.23,28.73,2.99,76.97,33.95,0.93
184,20,2007,8514.95,828969583,68.35,0.76,5.88,67.98,53.4,2.05,79.88,20.68,0.2
185,7,2023,49599.73,681901067,85.18,0.79,12.01,56.64,43.4,4.49,93.75,78.68,0.92
186,4,2007,25180.47,1065423996,84.67,0.72,18.32,88.17,32.46,3.99,91.67,74.65,0.36
187,6,2018,59457.28,875862559,33.8,0.73,3.3,66.03,30.04,4.46,56.74,20.09,0.8
188,16,2012,28864.58,1008397988,87.3,0.89,12.88,55.62,28.51,9.79,60.64,34.08,0.9
189,8,2008,33676.33,115359092,33.07,0.61,15.86,71.78,42.18,6.54,62.39,45.65,0.96
190,5,2024,32256.72,1187069847,85.54,0.7,4.08,71.69,49.23,6.71,49.93,37.91,0.33
191,19,2015,19982.48,397576351,62.8,0.98,4.1,63.23,30.14,7.25,60.96,59.0,0.26
192,5,2015,5426.3,1346603345,61.99,0.59,8.59,65.7,33.29,5.18,93.85,45.25,0.44
193,3,2015,53843.42,437068618,72.8,0.65,6.93,86.9,48.81,9.83,66.93,49.57,0.55
194,20,2006,48357.87,1413729703,82.75,0.6,5.57,80.66,49.49,9.79,92.39,57.43,0.69
195,8,2021,9232.08,620563961,67.02,0.51,5.58,60.3,28.29,8.15,43.93,11.66,0.69
196,3,2013,46829.33,856076488,55.52,0.63,4.35,95.51,35.29,3.69,42.16,10.87,0.12
197,6,2006,37924.95,861172505,36.71,0.52,13.0,64.63,54.8,9.04,71.64,22.47,0.61
198,19,2019,25139.48,1168267785,77.35,0.58,14.39,75.61,49.61,2.81,80.49,60.28,0.17
199,4,2020,15987.25,840866854,37.7,0.68,14.65,77.41,26.5,7.04,51.96,26.83,0.71
200,8,2008,51724.0,613211538,73.58,0.51,11.58,60.26,35.44,5.66,67.68,74.41,0.98
201,8,2012,42311.11,1454082165,61.68,0.88,19.15,63.98,58.93,2.31,88.01,15.49,0.77
202,20,2013,33316.65,52715996,53.15,0.9,17.85,73.07,41.02,9.23,81.89,50.59,0.69
203,1,2009,36964.54,143419072,66.78,0.71,19.24,62.3,48.77,9.69,52.75,11.79,0.08
204,8,2020,6372.9,1093412324,76.34,0.99,9.0,64.67,23.68,9.26,58.4,78.04,0.18
205,7,2017,28961.27,551409563,86.47,0.84,17.8,79.43,53.3,3.54,56.82,24.96,0.36
206,19,2011,12428.32,1258723147,45.88,0.87,15.73,85.22,44.19,4.66,79.57,51.13,0.93
207,19,2024,13294.64,460409940,86.83,0.6,8.12,88.45,27.02,9.65,93.25,76.71,0.33
208,7,2021,40016.93,467539174,87.66,0.92,3.92,55.84,35.21,2.85,55.4,12.13,0.81
209,16,2007,54764.11,343242579,78.82,0.97,14.29,85.38,23.32,6.67,72.36,45.89,0.1
210,7,2009,24821.64,669769236,82.89,0.62,4.46,94.95,51.08,5.88,94.37,46.87,0.66
211,7,2023,13257.21,556541907,71.55,0.84,7.29,77.88,49.8,3.22,48.67,34.6,0.78
212,19,2016,39276.07,1386143309,32.35,0.87,11.01,79.02,39.61,9.09,76.25,55.82,0.54
213,5,2011,52400.04,410865391,64.5,0.65,14.24,95.86,38.08,3.07,58.26,47.98,0.77
214,19,2013,45150.81,872011976,74.83,0.74,18.67,91.73,38.54,6.74,94.54,27.44,0.72
215,1,2010,52256.68,328482721,86.5,0.55,12.68,76.77,21.5,4.55,45.98,59.37,0.48
216,20,2021,32656.73,21940973,64.23,0.59,14.09,86.76,34.73,5.34,64.82,42.63,0.87
217,3,2020,45360.7,954731661,77.65,0.53,7.58,58.68,25.14,3.69,54.02,42.92,0.34
218,5,2007,9263.81,77310862,72.3,0.78,14.37,69.83,27.39,7.0,41.74,76.63,0.43
219,4,2008,21548.2,547524894,46.85,0.81,9.88,84.34,58.48,9.91,93.0,47.45,0.54
220,3,2014,23983.4,298572863,39.28,0.96,17.42,63.85,30.47,8.67,71.25,64.93,0.13
221,20,2009,31166.45,201353067,75.05,0.77,9.06,71.79,39.34,7.47,78.54,70.72,0.52
222,1,2014,55815.51,524964661,44.03,0.63,10.43,58.29,55.51,8.05,74.12,50.65,0.32
223,1,2016,52583.5,1272630927,44.68,0.53,9.79,93.09,36.54,8.71,48.17,65.05,0.26
224,4,2014,8937.0,619724060,68.64,0.94,16.6,92.99,41.14,5.78,49.38,31.67,0.58
225,5,2017,11194.59,1113382332,77.34,0.74,19.17,72.96,26.75,6.54,74.45,22.73,0.33
226,16,2015,22100.79,981155566,64.94,0.87,7.89,59.22,31.4,9.16,82.89,58.69,0.86
227,7,2020,18153.89,926128263,83.1,0.51,10.55,82.6,40.24,7.57,73.61,74.83,0.41
228,5,2012,37271.49,927881059,42.69,0.74,14.71,60.25,34.6,3.09,71.37,12.97,0.41
229,16,2012,54263.79,1333618450,45.14,0.66,18.12,60.97,21.53,8.24,81.03,63.41,0.98
230,1,2012,57775.2,94546233,68.22,0.52,10.89,96.66,36.03,2.18,53.4,11.99,0.34
231,19,2017,39562.57,485189661,79.76,0.89,3.96,54.78,52.6,8.78,80.24,42.1,0.13
232,20,2006,50451.39,445255447,62.36,0.76,8.64,68.2,24.64,8.31,62.62,57.4,0.88
233,4,2016,31986.93,1493871316,30.62,0.67,11.91,76.63,20.75,8.65,77.07,38.37,0.92
234,20,2014,13291.29,721373242,70.62,0.9,9.52,55.17,24.75,2.19,55.11,31.07,0.23
235,6,2016,31956.62,871328042,78.81,0.72,5.36,51.87,47.47,9.78,47.56,23.08,0.88
236,6,2015,33749.87,221396493,46.59,0.5,2.67,76.03,51.79,6.91,41.6,78.45,0.49
237,5,2019,44805.0,738929546,33.25,0.97,14.37,55.5,21.95,8.4,84.19,49.92,0.04
238,1,2020,13973.1,561997497,61.08,0.63,19.87,62.06,55.5,6.53,50.83,18.95,0.55
239,1,2021,22730.31,1081609837,32.53,0.92,18.55,73.87,45.09,4.72,59.99,13.37,0.85
240,7,2006,22477.62,967609632,54.96,0.91,14.3,66.68,40.73,4.37,82.29,27.04,0.4
241,7,2022,57606.94,1109700983,31.07,0.58,17.15,84.11,30.14,2.56,64.76,47.7,0.55
242,7,2016,27192.75,758570256,43.5,0.74,6.6,96.2,34.87,6.34,51.97,62.64,0.14
243,19,2023,45550.54,793609635,53.33,0.52,13.2,86.15,57.88,3.15,50.71,78.67,0.84
244,3,2022,45297.87,1068311413,36.7,0.68,3.09,98.0,56.46,6.54,62.44,68.38,0.11
245,8,2021,16667.11,912595230,36.85,0.87,14.73,68.67,45.02,7.0,71.08,52.84,0.09
246,3,2010,34740.31,350439309,79.62,0.62,19.46,64.65,43.16,5.54,61.58,56.65,0.93
247,20,2019,53763.87,1404804800,32.49,0.56,17.49,60.2,28.42,3.25,89.75,46.54,0.87
248,3,2007,29036.67,1148946529,71.34,0.75,11.62,92.47,58.13,5.46,40.21,40.42,0.57
249,19,2010,56761.93,686989336,78.87,0.77,16.2,68.72,50.22,9.03,62.11,64.93,0.11
250,20,2007,13653.04,478812555,37.84,0.84,18.99,84.13,35.29,5.66,80.86,22.41,0.55
251,3,2005,5375.39,1241251619,41.72,0.88,5.89,82.39,52.63,4.74,89.0,33.38,0.92
252,19,2017,53595.78,1419223030,68.49,0.85,16.28,52.74,28.47,7.04,59.71,78.51,0.61
253,8,2018,51013.19,208857042,48.94,0.92,6.86,92.22,28.53,6.95,77.05,50.02,0.2
254,3,2017,59562.8,1087967162,58.59,0.61,17.79,73.35,51.64,2.72,71.92,44.9,0.91
255,19,2008,41084.22,867030080,80.16,0.78,3.77,60.73,42.37,3.89,51.08,69.56,0.87
256,7,2011,56264.59,274451456,38.28,0.68,5.21,97.0,42.23,5.96,77.45,63.34,0.55
257,1,2014,49789.99,1262267784,67.18,0.98,14.97,86.15,42.95,4.93,53.73,32.82,0.85
258,7,2011,50821.15,1484872044,86.54,0.72,5.15,79.6,25.03,4.56,83.11,53.82,0.06
259,1,2019,34579.35,738132458,33.45,0.98,4.84,97.44,33.98,5.57,87.62,22.98,0.46
260,4,2019,23559.51,1333013618,33.6,0.88,12.0,86.32,42.92,4.32,66.31,13.71,0.18
261,4,2008,56138.93,1327238932,63.28,0.86,17.03,55.81,29.9,4.78,42.98,79.29,0.84
262,4,2010,26494.91,1012055103,87.6,0.75,6.83,97.58,40.16,8.19,80.55,61.6,0.97
263,8,2024,32790.34,1156430818,43.23,0.72,17.14,78.68,42.28,6.08,65.7,75.15,0.93
264,7,2009,27320.74,598826643,49.85,0.76,16.54,64.37,57.71,8.98,45.2,68.23,0.5
